Year,Origin,ISO,Destination,Asylum ,Returned,ReturnedIDPss,Resettlement,Naturalisation
2015,United Rep. of Tanzania,TZA,Canada,CAN,-,-,8,26
2015,Thailand,THA,Australia,AUS,-,-,363,-
2015,Thailand,THA,Canada,CAN,-,-,5,5
2015,Thailand,THA,United States of America,USA,-,-,5,-
2015,Tibetan,TIB,Australia,AUS,-,-,37,-
2015,Tajikistan,TJK,Canada,CAN,-,-,6,5
2015,Tajikistan,TJK,United States of America,USA,-,-,15,-
2015,Turkmenistan,TKM,United States of America,USA,-,-,5,-
2015,Togo,TGO,United States of America,USA,-,-,5,-
2015,Tunisia,TUN,United States of America,USA,-,-,7,-
2015,Türkiye,TUR,Australia,AUS,-,-,22,-
2015,Türkiye,TUR,Canada,CAN,-,-,5,211
2015,United Arab Emirates,ARE,Australia,AUS,-,-,5,-
2015,Uganda,UGA,Australia,AUS,-,-,20,-
2015,Uganda,UGA,Canada,CAN,-,-,6,80
2015,Uganda,UGA,Sweden,SWE,-,-,5,-
2015,Uganda,UGA,United States of America,USA,-,-,66,-
2015,Unknown ,UNK,Canada,CAN,-,-,6,27
2015,Unknown ,UNK,Finland,FIN,-,-,5,-
2015,Unknown ,UNK,Switzerland,CHE,-,-,89,-
2015,Ukraine,UKR,Canada,CAN,-,-,5,96
2015,Ukraine,UKR,United States of America,USA,-,-,1760,-
2015,United States of America,USA,Canada,CAN,-,-,5,23
2015,Uzbekistan,UZB,Canada,CAN,-,-,5,37
2015,Uzbekistan,UZB,United States of America,USA,-,-,34,-
2015,Venezuela (Bolivarian Republic of),VEN,Sweden,SWE,-,-,5,-
2015,Yemen,YEM,Canada,CAN,-,-,8,18
2015,Yemen,YEM,United States of America,USA,-,-,8,-
2015,Zambia,ZMB,Australia,AUS,-,-,26,-
2015,Zimbabwe,ZWE,Sweden,SWE,-,-,6,-
2015,Zimbabwe,ZWE,United States of America,USA,-,-,5,-
2015,Afghanistan,AFG,Austria,AUT,-,-,-,142
2015,Afghanistan,AFG,Belgium,BEL,-,-,-,66
2015,Afghanistan,AFG,France,FRA,-,-,-,38
2015,Afghanistan,AFG,Ireland,IRL,-,-,-,19
2015,Albania,ALB,Argentina,ARG,-,-,-,6
2015,Albania,ALB,Austria,AUT,-,-,-,6
2015,Albania,ALB,Belgium,BEL,-,-,-,24
2015,Albania,ALB,Canada,CAN,-,-,-,152
2015,Albania,ALB,France,FRA,-,-,-,20
2015,Albania,ALB,Ireland,IRL,-,-,-,6
2015,Algeria,DZA,Argentina,ARG,-,-,-,5
2015,Algeria,DZA,Belgium,BEL,-,-,-,5
2015,Algeria,DZA,Canada,CAN,-,-,-,36
2015,Algeria,DZA,France,FRA,-,-,-,35
2015,Algeria,DZA,Ireland,IRL,-,-,-,5
2015,Algeria,DZA,Lesotho,LSO,-,-,-,6
2015,Angola,AGO,Austria,AUT,-,-,-,8
2015,Angola,AGO,Canada,CAN,-,-,-,37
2015,Angola,AGO,France,FRA,-,-,-,46
2015,Angola,AGO,Ireland,IRL,-,-,-,5
